Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
M,1.6375,1.3125,0.4375,37.0527965,18.9091165,8.0229085,10.0640725,10
F,1.325,1.0375,0.3875,22.169309,5.96756975,3.89805625,8.0796075,13
M,1.1625,0.875,0.3,14.599992499999999,5.9533949999999995,2.8632995,3.78465825,8
M,1.5625,1.225,0.3875,32.41765325,11.453198,6.95980225,9.355335,10
I,1.1,0.8625,0.3,11.43902325,4.876114,2.33883375,3.5436875,7
F,1.4125,1.2875,0.525,36.18813675,14.203099499999999,7.9095105,10.0640725,13
M,1.45,1.1,0.375,29.72445075,12.3887315,5.5281525,9.07184,11
I,1.1,0.875,0.3,13.53688625,6.2652395,2.6365035,3.9689300000000003,7
I,1.225,0.9375,0.3625,19.12173775,6.406987,3.8838815,4.69184225,11
I,0.925,0.725,0.2375,7.35669525,3.912231,1.63009625,2.05533875,8
M,1.55,1.25,0.375,31.62386725,15.35125425,6.0100940000000005,7.37087,11
F,1.4625,1.1625,0.4625,31.62386725,13.579410500000002,6.56290925,9.1001895,11
M,1.55,1.2375,0.3625,29.880373,10.4609655,6.39281225,10.20582,10
F,1.4625,1.1375,0.4,28.19357775,13.210867000000002,7.4559185,8.50485,9
F,1.1,0.8875,0.3,14.373196499999999,5.499803,3.86970675,3.855532,9
M,1.25,0.9625,0.325,18.6256215,7.07320025,4.479221,5.5281525,7
M,1.475,1.125,0.4,24.380570000000002,11.38232425,4.80524025,6.9456275,8
F,1.7,1.375,0.525,49.45570275,16.93882625,8.6465975,17.7184375,11
M,1.5625,1.175,0.3875,29.086586999999998,13.16834275,3.175144,8.6465975,10
F,1.6125,1.3125,0.4875,36.95357325,16.499409,8.51902475,10.999606,9
F,1.75,1.4125,0.4,45.926190000000005,13.749507500000002,9.9506745,16.584457500000003,21
M,1.175,0.9,0.2875,13.154167999999999,5.4714535,2.721552,4.252425,11
M,1.55,1.225,0.425,32.119983500000004,13.210867000000002,7.66853975,8.448151,11
M,1.45,1.125,0.3625,28.42037375,13.25339125,5.59902625,7.5126175,11
F,1.625,1.225,0.4375,38.51279575,18.12950525,8.334753,10.3475675,9
M,1.5125,1.175,0.4375,32.772022,15.32290475,6.27941425,8.278054,9
I,1.3,1.0625,0.35,18.71067,8.83086925,4.2240755,5.10291,7
M,1.2125,0.9,0.3,13.39513875,6.095142500000001,3.231843,3.5436875,8
M,1.55,1.2,0.4125,33.12639075,13.65028425,6.662132499999999,9.7805775,13
M,1.5375,1.1875,0.4125,32.205032,12.3320325,6.520385,9.19941275,11
M,1.55,1.1875,0.4375,31.14192575,13.5227115,6.5487345,8.221355,10
I,1.3125,1.0,0.3375,17.463292000000003,7.399219500000001,4.025629,5.9533949999999995,10
M,1.175,0.9,0.2625,13.267566,5.6982495,3.7704835,4.1106775,12
F,1.5375,1.2375,0.45,43.21881275,19.220961,10.24834425,12.190285000000001,10
M,1.4875,1.175,0.3875,32.44600275,15.7339725,7.767763,8.7032965,10
F,1.2,0.9375,0.3125,17.916884,7.314171000000001,3.7137845,5.5281525,9
I,0.8125,0.6125,0.225,4.03980375,1.6159215,0.94970825,1.190679,6
F,1.55,1.2,0.4375,34.501341499999995,15.4504775,7.37087,8.66077225,12
I,1.175,0.8875,0.3125,12.984071,5.74077375,3.18931875,3.9689300000000003,7
I,0.4375,0.3125,0.1,0.963883,0.340194,0.170097,0.283495,3
M,1.5625,1.225,0.4375,36.117263,17.6050395,8.43397625,10.0640725,12
